Category,Quantity,References,Value,Stock Code,PCB Package
Integrated Circuits,1,U1,AT SAM D5X/E5X (100PIN),ATSAMD51N19,TQFP100
Integrated Circuits,1,U2,U FLASH IS25LP016D,IS25LP016D-JNLE-TR,SO8
Integrated Circuits,2,U3-U4,4051,74HC4051D,SO16
Integrated Circuits,1,U100,FUSB303,FUSB303TMX,X2QFN12
Integrated Circuits,1,U101,USBLC6-2,USBLC6-2SC6,SUPERSOT-6
Integrated Circuits,2,U102-U103,NCV8161BSN330T1G,NCV8161BSN330T1G,TSOP-5
Resistors,3,"R1-R2,R101",0R,,0805_RES
Resistors,20,"R3,R6,R8,R21-R36,R106",10k,,0805_RES
Resistors,10,R11-R20,1k,,0805_RES
Resistors,2,"R100,R102",1M,,0805_RES
Resistors,3,R103-R105,4.7k,,0805_RES
Capacitors,48,"C1,C4-C10,C12,C14,C17-C51,C102-C103,C105",100n,,0805_CAP
Capacitors,2,C2-C3,22p,,0805_CAP
Capacitors,2,"C11,C13",10u,,0805_CAP
Capacitors,2,"C15,C101",4.7u,,0805_CAP
Capacitors,3,"C16,C104,C106",1u,,0805_CAP
Capacitors,1,C100,4.7n,,0805_CAP
Transistors,8,Q1-Q8,DMP3085LSD-13,DMP3085LSD-13,SO8
Diodes,8,D1-D8,NSR0320MW2T1G,NSR0320MW2T1G,SOD-323
Miscellaneous,3,"FB1,FB100-FB101",600R@100MHz,,0805_IND
Miscellaneous,64,J4-J67,J SPRINGPIN,TOBY_TEST-3,J SPRINGPIN
Miscellaneous,1,J68,J 2X8,,J 2X8 MINI SMT
Miscellaneous,1,J100,J USBTYPEC,,J USBTYPEC 10133476-10001LF
Miscellaneous,1,L1,10u,,0805_IND
Miscellaneous,16,LD1-LD16,WS2812B-MINI,WS2812B-MINI,PLCC4
Miscellaneous,1,S1,S PUSHBUTTON,,S KMS221GLFS
Miscellaneous,16,VR1-VR16,POT-SW-COMBO,,POT-SW-COMBO
Miscellaneous,1,X1,12Mhz,3225-12M-SR,CRYSTAL ILCX13
Modules,4,"M1,M14-M15,M18","MECH_B2,2X14_SELFT",,NULL
Modules,1,M2,MECH_G4_PLASTIC_BOTTOM,,NULL
Modules,1,M3,MECH_G4_PLASTIC_TOP,,NULL
Modules,8,"M4-M5,M10-M13,M16-M17",MECH_4X10MM_MAGNET_DIA,,NULL
Modules,4,M6-M9,MECH_10X1MM_RUBBER_PAD,,NULL
Modules,1,M19,MECH_FRONTPANEL_P16,,NULL
Modules,16,M20-M35,MECH_LED_LIGHTPIPE,,NULL
Modules,16,M36-M51,MECH_POT_CAP,,NULL
Modules,1,M52,MECH_G4_PCB,,NULL
