Category,Quantity,References,Value,Stock Code,Unit Cost
Capacitors,47,"C1,C4-C10,C12,C14,C18-C53,C101",100n,,$0.00260
Capacitors,2,C2-C3,26p,,
Capacitors,2,"C11,C13",10u,,$0.00860
Capacitors,3,"C15,C102-C103",1u,,$0.01080
Capacitors,2,C16-C17,18p,,$0.00420
Capacitors,1,C100,4.7n,,$0.00390
Resistors,20,"R1-R2,R5,R7-R22,R101",10k,,$0.00140
Resistors,3,"R3-R4,R6",1k,,$0.00110
Resistors,1,R100,1M,,$0.00090
Resistors,2,R102-R103,5k1,,$0.00130
Integrated Circuits,1,U1,AT SAM D5X/E5X (100PIN),ATSAMD51N19,$4.55100
Integrated Circuits,1,U2,74HC165,,$0.06780
Integrated Circuits,1,U3,U FLASH IS25LP016D,IS25LP016D-JNLE-TR,$0.17180
Integrated Circuits,2,U4-U5,4051,74HC4051D,$0.07800
Integrated Circuits,1,U100,D ESD 4CH,SESRV05-4,$0.03620
Integrated Circuits,2,U101-U102,NCV8161BSN330T1G,NCV8161BSN330T1G,$0.02620
Miscellaneous,2,"FB1,FB100",600R@100MHz,,$0.00430
Miscellaneous,1,J1,J 2X5,,
Miscellaneous,8,J5-J12,J 1X8,FFC,$0.04580
Miscellaneous,1,J100,J USBTYPEC,,$0.78110
Miscellaneous,16,LD1-LD16,WS2812C-2020,WS2812C-2020,$0.10300
Miscellaneous,4,"M1,M14-M15,M18","MECH_B2,2X14_SELFT",,
Miscellaneous,1,M2,MECH_G4_PLASTIC_BOTTOM,,
Miscellaneous,1,M3,MECH_G4_PLASTIC_TOP,,
Miscellaneous,8,"M4-M5,M10-M13,M16-M17",MECH_4X10MM_MAGNET_DIA,,$0.16200
Miscellaneous,4,M6-M9,MECH_10X1MM_RUBBER_PAD,,
Miscellaneous,1,M19,MECH_FRONTPANEL_P16,,
Miscellaneous,16,M20-M35,MECH_LED_LIGHTPIPE,,$0.05000
Miscellaneous,16,M36-M51,MECH_POT_CAP,,$0.37100
Miscellaneous,1,M52,MECH_G4_PCB,,$4.54000
Miscellaneous,1,SW1,SW_HYP_MAP,1TS003A-2500-3500A-CT,$0.03100
Miscellaneous,1,TP1,MUX1,,
Miscellaneous,1,TP2,MUX2,,
Miscellaneous,1,TP3,SCL,,
Miscellaneous,1,TP4,SDA,,
Miscellaneous,1,TP5,CLOCK,,
Miscellaneous,1,TP6,DATA,,
Miscellaneous,1,TP7,SHIFT,,
Miscellaneous,2,"TP8,TP15",GND,,
Miscellaneous,1,TP11,SYNC1,,
Miscellaneous,1,TP12,SYNC2,,
Miscellaneous,1,TP13,RX,,
Miscellaneous,1,TP14,TX,,
Miscellaneous,1,TP102,D+,,
Miscellaneous,1,TP103,D-,,
Miscellaneous,16,VR1-VR16,POT_TT,,$0.34040
Miscellaneous,1,X1,12Mhz,3225-12M-SR,
Miscellaneous,1,X2,32.768kHz,,$0.08750
