Row,Referencias,Parte,Valor,P/N,Fabricante,Cod. Digi-Key,Footprint,Descripción,Quantity Per PCB
1,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C33 C34 C36 C37 C38 C39 C40 C41 C42 C43 C44 C45 C46 C47 C48 C49 C50 C51 C53 C54 C55 C86 C87 C94 C95,CAP,100 nF,,,,CAP_0805,,51
2,D1 D2 D3 D4 D5 D6 D7 D8,UI_WS2812C-2020,UI_WS2812C-2020,,,,UI_WS2812C-2020,,8
3,J4 J5 J6 J7 J8 J9 J10 J11 M1,Conn_01x08,Conn_01x08,,,,grid_ffc_8_vertical,,9
4,J2,Conn_02x05_Odd_Even,N.F.,,,,PinHeader_2x05_P1.27mm_Vertical,,1
5,J1,USB_C_TYPE-C-32-M-12,USB_C_TYPE-C-32-M-12,,,,USB_C_Korean_Hroparts_TYPE-C-31-M-12,,1
6,JP2,JP_SolderJumper_2_Open,N.F. Solder Jumper,,,,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,1
7,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R34 R35 R36 R37 R38 R39 R40 R41 R42 R107 R108 R109 R110 R111 R112,RES,10 kΩ,,,,RES_0805,,43
8,SW1,SW_SPST,SW_SPST,,,,SW_HYP_MAPMODE,,1
9,U1 U2 U3,74HC165,74HC165,,,,SOIC-16_3.9x9.9mm_P1.27mm(rot90),,3
10,U9 U10,74HC4051,74HC4051,,,,SOIC-16_3.9x9.9mm_P1.27mm,,2
11,U15 U16,FUSB302BMPX,FUSB302BMPX,,,,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,,2
12,U5 U6,U_REGULATOR_SOT23-5,LN1134A332MR-G,,,,SOT-23-5,,2
13,U17,PMIC_MT9700,MT9700,,,,SOT-23-5,,1
14,U7,SAMD51N20A,SAMD51N20A,,,,TQFP-100_14x14mm_P0.5mm,,1
15,U4,U_ESD_4ch,SESRV05-4 ,,,,SOT-23-6,,1
16,U8,U_FLASH_W25Q16JVSSIQ,W25Q16JVSSIQ,,,,SOIC-8_WIDE(rot90),,1
17,UI5 UI6 UI7 UI8,UI_Fader,UI_Fader,,,,UI_FADER_TT_long,,4
18,UI1 UI2 UI3 UI4,UI_Rotary_Encoder_Switch,UI_Rotary_Encoder_Switch,,,,UI_ENCODER_TT,,4





Project info:
Schematic:,EF44
Variant:,default
Revision:,
Date:,2021-10-08_11-05-34
KiCad Version:,5.1.9+dfsg1-1
Statistics:
Component Groups:,18
Component Count:,136
Fitted Components:,136
Number of PCBs:,1
Total Components:,136
