Id,Designator,Footprint,Quantity,Comment
1,"U14,U13,U12,U11,U10,U9,U3,U2,U1",SOIC-16_3.9x9.9mm_P1.27mm(rot90),9,74HC165
2,U8,SOIC-8_WIDE(rot90),1,W25Q16JVSSIQ
3,"U6,U5",SOT-23-5,2,LN1134A332MR-G
4,"R33,R106,R105,R104,R103,R102,R101,R100,R99,R98,R97,R96,R95,R94,R93,R92,R91,R90,R89,R88,R87,R86,R85,R84,R83,R82,R81,R80,R79,R78,R77,R76,R75,R74,R73,R72,R71,R70,R69,R68,R67,R66,R65,R64,R63,R62,R61,R60,R59,R58,R57,R56,R55,R54,R53,R52,R51,R50,R49,R48,R47,R46,R45,R44,R43,R32,R31,R30,R29,R28,R27,R26,R25,R24,R23,R22,R21,R20,R19,R18,R17,R16,R15,R14,R13,R12,R11,R10,R9,R8,R7,R6,R5,R4,R3,R2,R1,R36",RES_0805,98,10k
5,JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,N.F. Solder Jumper
6,"UI13,UI10,UI12,UI4,UI8,UI16,UI15,UI14,UI11,UI9,UI7,UI6,UI5,UI3,UI2,UI1",UI_ENCODER_TT,16,UI_Rotary_Encoder_Switch
7,M1,grid_outline,1,Conn_01x08
8,"D4,D11,D12,D9,D6,D10,D16,D8,D15,D7,D3,D14,D2,D13,D5,D1",UI_WS2812C-2020,16,UI_WS2812C-2020
9,"J4,J11,J10,J9,J7,J5,J8,J6",grid_ffc_8_vertical,8,Conn_01x08
10,"C9,C93,C92,C91,C90,C89,C88,C87,C86,C85,C84,C83,C82,C81,C80,C79,C78,C77,C76,C75,C74,C73,C72,C71,C70,C69,C68,C67,C66,C65,C64,C63,C62,C61,C60,C59,C58,C57,C56,C52,C35,C32,C31,C30,C29,C28,C27,C26,C25,C24,C23,C22,C21,C20,C19,C18,C17,C55,C54,C44,C49,C48,C47,C46,C45,C42,C41,C39,C1,C94,C33,C16,C12,C8,C4,C15,C11,C7,C3,C14,C10,C6,C2,C13,C5,C95",CAP_0805,86,100n
11,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,N.F.16Mhz
12,U4,SOT-23-6,1,SESRV05-4 
13,J1,USB_C_Korean_Hroparts,1,TYPE-C-31-M-04
14,R37,RES_0805,1,1M
15,SW1,SW_HYP_MAPMODE,1,SW_SPST
16,U7,TQFP-100_14x14mm_P0.5mm,1,SAMD51N20A
17,"TP4,TP3,TP2,TP1",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,4,TestPoint
18,"C53,C36,C40,C34",CAP_0805,4,1u
19,"C50,C51",CAP_0805,2,N.F.18p
20,"FB2,FB1",FERRIT_0805,2,600 Ohm @ 100MHz
21,"C43,C38",CAP_0805,2,10u
22,"R39,R38,R40,R42,R41",RES_0805,5,1k
23,"R35,R34",RES_0805,2,5k1
24,J2,PinHeader_2x05_P1.27mm_Vertical,1,N.F.
25,J3,PinHeader_1x03_P2.54mm_Vertical,1,N.F.
26,C37,CAP_0805,1,4n7
