Ref,Val,Package,PosX,PosY,Rot,Side
"D1","UI_WS2812C-2020","UI_WS2812C-2020",-40.005000,47.625000,0.000000,top
"D2","UI_WS2812C-2020","UI_WS2812C-2020",-13.335000,47.625000,0.000000,top
"D3","UI_WS2812C-2020","UI_WS2812C-2020",13.335000,47.625000,0.000000,top
"D4","UI_WS2812C-2020","UI_WS2812C-2020",40.005000,47.625000,0.000000,top
"D5","UI_WS2812C-2020","UI_WS2812C-2020",-40.005000,20.955000,0.000000,top
"D6","UI_WS2812C-2020","UI_WS2812C-2020",-13.335000,20.955000,0.000000,top
"D7","UI_WS2812C-2020","UI_WS2812C-2020",13.335000,20.955000,0.000000,top
"D8","UI_WS2812C-2020","UI_WS2812C-2020",40.005000,20.955000,0.000000,top
"D9","UI_WS2812C-2020","UI_WS2812C-2020",-40.005000,-5.715000,0.000000,top
"D10","UI_WS2812C-2020","UI_WS2812C-2020",-13.335000,-5.715000,0.000000,top
"D11","UI_WS2812C-2020","UI_WS2812C-2020",13.335000,-5.715000,0.000000,top
"D12","UI_WS2812C-2020","UI_WS2812C-2020",40.005000,-5.715000,0.000000,top
"D13","UI_WS2812C-2020","UI_WS2812C-2020",-40.005000,-32.385000,0.000000,top
"D14","UI_WS2812C-2020","UI_WS2812C-2020",-13.335000,-32.385000,0.000000,top
"D15","UI_WS2812C-2020","UI_WS2812C-2020",13.335000,-32.385000,0.000000,top
"D16","UI_WS2812C-2020","UI_WS2812C-2020",40.005000,-32.385000,0.000000,top
"J1","TYPE-C-31-M-04","USB_C_Korean_Hroparts",0.000000,47.500000,180.000000,top
"SW1","SW_SPST","SW_HYP_MAPMODE",0.000000,-46.500000,180.000000,top
"U7","SAMD51N20A","TQFP-100_14x14mm_P0.5mm",0.000000,0.000000,0.000000,top
