"Source:","I:\Workspace\grid\Electrical\Design\INTERFACE\INTERFACE\INTERFACE.sch"
"Date:","3/3/2020 1:51:40 PM"
"Tool:","Eeschema (5.1.2)-2"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","39"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","1u","CAP","suku_basics:CAP_0805","Unpolarized capacitor, small symbol",""
"C4, C3, ","2","100n","CAP","suku_basics:CAP_0805","Unpolarized capacitor, small symbol",""
"C5, ","1","10u","CAP","suku_basics:CAP_0805","Unpolarized capacitor, small symbol",""
"D1, ","1","BAT54C","D_Schottky_x2_KCom_AAK","Package_TO_SOT_SMD:SOT-23","Dual Schottky diode, common cathode on pin 3",""
"FID1, FID2, FID3, FID4, ","4","Fiducial","Fiducial","Fiducial:Fiducial_1.5mm_Mask3mm","Fiducial Marker",""
"H1, H2, H3, H4, ","4","MountingHole","MountingHole","MountingHole:MountingHole_2.2mm_M2","Mounting Hole without connection",""
"H5, H6, ","2","MountingHole","MountingHole","suku_basics:PANEL_BREAKOUT-2x3-0.7","Mounting Hole without connection",""
"J1, J3, ","2","Conn_01x04","Conn_01x04","suku_basics:J_4xPOGO","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, J4, ","2","Conn_01x08","Conn_01x08","suku_basics:J_FFC_1x8_Solder","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q4, Q3, ","2"," WST2011","Q_DUAL_PMOS_G1S2G2D2S1D1","suku_basics:SOT-23-6","Dual PMOS transistor, 6 pin package",""
"R1, R2, R3, R4, R6, ","5","470R","RES","suku_basics:RES_0805","Resistor, small symbol",""
"R8, R5, R7, ","3","10k","RES","suku_basics:RES_0805","Resistor, small symbol",""
"U1, U2, ","2"," CEST236LC5VU-M","U_ESD_4ch","suku_basics:SOT-23-6","Transient voltage suppressor designed to protect high speed data lines from ESD, EFT, and lightning",""
"U3, ","1","HALL 39E","A1301KLHLT-T","Package_TO_SOT_SMD:SOT-23W","Linear Hall Effect Sensor, SOT-23W",""
"U6, U5, U8, U7, ","4","74HC1G66GV","74HC1G66GW","suku_basics:SOT-23-5","Single Analog Switch",""
"U9, U4, ","2","LMV321","LM321","suku_basics:SOT-23-5","Low Power Single Operational Amplifier, SOT-23-5",""
