"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"FID4,FID3,FID2,FID1";"Fiducial_1.5mm_Mask3mm";4;"Fiducial";;;
2;"U9,U4";"SOT-23-5";2;"LMV321";;;
3;"R4,R3,R1,R6,R2";"RES_0805";5;"470R";;;
4;"U8,U7,U6,U5";"SOT-23-5";4;"74HC1G66GV";;;
5;"H6,H5";"PANEL_BREAKOUT-2x3-0.7";2;"MountingHole";;;
6;"H4,H3,H2,H1";"MountingHole_2.2mm_M2";4;"MountingHole";;;
7;"J3,J1";"J_4xPOGO";2;"Conn_01x04";;;
8;"Q4,Q3";"SOT-23-6";2;" WST2011";;;
9;"U3";"SOT-23W";1;"HALL 39E";;;
10;"U2,U1";"SOT-23-6";2;" CEST236LC5VU-M";;;
11;"R8,R7,R5";"RES_0805";3;"10k";;;
12;"J4,J2";"J_FFC_1x8_Solder";2;"Conn_01x08";;;
13;"D1";"SOT-23";1;"BAT54C";;;
14;"C5";"CAP_0805";1;"10u";;;
15;"C4,C3";"CAP_0805";2;"100n";;;
16;"C2,C1";"CAP_0805";2;"1u";;;
