Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
J5,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,-26.67,101.75,0,bottom
J5,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,-26.67,-3.25,0,bottom
J5,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,-26.67,11.75,0,bottom
J5,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,-26.67,26.75,0,bottom
J5,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,-26.67,41.75,0,bottom
J5,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,-26.67,56.75,0,bottom
J5,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,-26.67,71.75,0,bottom
J5,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,-26.67,86.75,0,bottom
J6,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,26.67,41.75,0,bottom
J6,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,26.67,-3.25,0,bottom
J6,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,26.67,11.75,0,bottom
J6,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,26.67,26.75,0,bottom
J6,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,26.67,56.75,0,bottom
J6,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,26.67,71.75,0,bottom
J6,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,26.67,86.75,0,bottom
J6,FFC_Conn_01x08_combine_pins2,J_FFC_1x8_Solder_3common,26.67,101.75,0,bottom
C1,1u,CAP_0805,-42.0116,93.7,270,top
C1,1u,CAP_0805,-42.0116,-11.3,270,top
C1,1u,CAP_0805,-42.0116,3.7,270,top
C1,1u,CAP_0805,-42.0116,18.7,270,top
C1,1u,CAP_0805,-42.0116,33.7,270,top
C1,1u,CAP_0805,-42.0116,48.7,270,top
C1,1u,CAP_0805,-42.0116,63.7,270,top
C1,1u,CAP_0805,-42.0116,78.7,270,top
C2,1u,CAP_0805,42.0116,93.7,270,top
