Designator,Mid X,Mid Y,Rotation,Layer
C1,-42.0116,-11.3,270,top
C1,-42.0116,8.7,270,top
C1,-42.0116,28.7,270,top
C1,-42.0116,48.7,270,top
C1,-42.0116,68.7,270,top
C1,-42.0116,88.7,270,top
C1,-42.0116,108.7,270,top
C1,-42.0116,128.7,270,top
C2,42.0116,48.7,270,top
C2,42.0116,28.7,270,top
C2,42.0116,8.7,270,top
C2,42.0116,68.7,270,top
C2,42.0116,88.7,270,top
C2,42.0116,108.7,270,top
C2,42.0116,128.7,270,top
C2,42.0116,-11.3,270,top
C3,-8.128,8.6746,90,top
C3,-8.128,28.6746,90,top
C3,-8.128,48.6746,90,top
C3,-8.128,68.6746,90,top
C3,-8.128,88.6746,90,top
C3,-8.128,108.6746,90,top
C3,-8.128,128.6746,90,top
C3,-8.128,-11.3254,90,top
C4,3.302,48.7,270,top
C4,3.302,28.7,270,top
C4,3.302,68.7,270,top
C4,3.302,88.7,270,top
C4,3.302,108.7,270,top
C4,3.302,128.7,270,top
C4,3.302,8.7,270,top
C4,3.302,-11.3,270,top
C5,-2.413,-11.3,270,top
C5,-2.413,8.7,270,top
C5,-2.413,28.7,270,top
C5,-2.413,48.7,270,top
C5,-2.413,68.7,270,top
C5,-2.413,88.7,270,top
C5,-2.413,108.7,270,top
C5,-2.413,128.7,270,top
D1,-10.668,68.7,180,top
D1,-10.668,-11.3,180,top
D1,-10.668,48.7,180,top
D1,-10.668,28.7,180,top
D1,-10.668,8.7,180,top
D1,-10.668,88.7,180,top
D1,-10.668,108.7,180,top
D1,-10.668,128.7,180,top
FID1,-48,143,0,top
FID2,48,143,0,top
FID3,-48,-6,0,top
FID4,48,-6,0,top
Q3,-20.955,128.7,180,top
Q3,-20.955,108.7,180,top
Q3,-20.955,88.7,180,top
Q3,-20.955,68.7,180,top
Q3,-20.955,48.7,180,top
Q3,-20.955,-11.3,180,top
Q3,-20.955,28.7,180,top
Q3,-20.955,8.7,180,top
Q4,20.955,88.7,180,top
Q4,20.955,128.7,180,top
Q4,20.955,68.7,180,top
Q4,20.955,48.7,180,top
Q4,20.955,28.7,180,top
Q4,20.955,8.7,180,top
Q4,20.955,108.7,180,top
Q4,20.955,-11.3,180,top
R1,-30.226,-11.303,90,top
R1,-30.226,128.697,90,top
R1,-30.226,108.697,90,top
R1,-30.226,88.697,90,top
R1,-30.226,68.697,90,top
R1,-30.226,48.697,90,top
R1,-30.226,28.697,90,top
R1,-30.226,8.697,90,top
R2,-28.194,8.697,90,top
R2,-28.194,28.697,90,top
R2,-28.194,-11.303,90,top
R2,-28.194,48.697,90,top
R2,-28.194,68.697,90,top
R2,-28.194,88.697,90,top
R2,-28.194,108.697,90,top
R2,-28.194,128.697,90,top
R3,30.226,-11.303,90,top
R3,30.226,128.697,90,top
R3,30.226,108.697,90,top
R3,30.226,88.697,90,top
R3,30.226,68.697,90,top
R3,30.226,8.697,90,top
R3,30.226,28.697,90,top
R3,30.226,48.697,90,top
R4,28.194,128.697,90,top
R4,28.194,28.697,90,top
R4,28.194,-11.303,90,top
R4,28.194,108.697,90,top
R4,28.194,88.697,90,top
R4,28.194,68.697,90,top
R4,28.194,48.697,90,top
R4,28.194,8.697,90,top
R5,-0.508,8.7,270,top
R5,-0.508,128.7,270,top
R5,-0.508,108.7,270,top
R5,-0.508,88.7,270,top
R5,-0.508,68.7,270,top
R5,-0.508,48.7,270,top
R5,-0.508,-11.3,270,top
R5,-0.508,28.7,270,top
R6,-6.223,8.7,270,top
R6,-6.223,28.7,270,top
R6,-6.223,48.7,270,top
R6,-6.223,-11.3,270,top
R6,-6.223,68.7,270,top
R6,-6.223,88.7,270,top
R6,-6.223,108.7,270,top
R6,-6.223,128.7,270,top
R7,1.397,48.7,90,top
R7,1.397,8.7,90,top
R7,1.397,28.7,90,top
R7,1.397,68.7,90,top
R7,1.397,88.7,90,top
R7,1.397,108.7,90,top
R7,1.397,128.7,90,top
R7,1.397,-11.3,90,top
R8,-4.318,-11.3,90,top
R8,-4.318,48.7,90,top
R8,-4.318,128.7,90,top
R8,-4.318,108.7,90,top
R8,-4.318,88.7,90,top
R8,-4.318,68.7,90,top
R8,-4.318,8.7,90,top
R8,-4.318,28.7,90,top
U1,-25.4,28.7,180,top
U1,-25.4,-11.3,180,top
U1,-25.4,8.7,180,top
U1,-25.4,128.7,180,top
U1,-25.4,108.7,180,top
U1,-25.4,88.7,180,top
U1,-25.4,68.7,180,top
U1,-25.4,48.7,180,top
U2,25.4,8.7,180,top
U2,25.4,28.7,180,top
U2,25.4,48.7,180,top
U2,25.4,68.7,180,top
U2,25.4,-11.3,180,top
U2,25.4,128.7,180,top
U2,25.4,108.7,180,top
U2,25.4,88.7,180,top
U3,-16.256,108.7,180,top
U3,-16.256,-11.3,180,top
