Designator,Footprint,Quantity,Comment,LCSC Part#
"U7,U7,U7,U7,U7,U7,U7,U5,U5,U5,U5,U5,U5,U5,U8,U8,U8,U8,U8,U8,U8,U6,U6,U6,U6,U6,U6,U6,U8,U7,U6,U5",SOT-23-5-AND-TSSOP5,32,74HC1G66GV,
"U2,U2,U2,U2,U2,U2,U2,U1,U1,U1,U1,U1,U1,U1,U2,U1",SOT-23-6,16, CEST236LC5VU-M,
"R6,R6,R6,R6,R6,R6,R6,R4,R4,R4,R4,R4,R4,R4,R3,R3,R3,R3,R3,R3,R3,R1,R1,R1,R1,R1,R1,R1,R2,R2,R2,R2,R2,R2,R2,R3,R4,R1,R6,R2",RES_0805,40,470R,
"D1,D1,D1,D1,D1,D1,D1,D1",SOT-23,8,BAT54C,
"C1,C1,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C2,C2,C2,C1",CAP_0805,16,1u,
"J1,J1,J1,J1,J1,J1,J1,J3,J3,J3,J3,J3,J3,J3,J3,J1",J_4xPOGO,16,Conn_01x04,
"H5,H5,H5,H5,H5,H5,H5,H6,H6,H6,H6,H6,H6,H6,H6,H5",PANEL_BREAKOUT-2x3-0.7,16,MountingHole,
"Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q3",SOT-23-6,16, WST2011,
"TP5,TP5,TP5,TP5,TP5,TP5,TP5,TP4,TP4,TP4,TP4,TP4,TP4,TP4,TP5,TP4",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,16,TP_5F,
"TP10,TP10,TP10,TP10,TP10,TP10,TP10,TP10",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_RXP,
"C5,C5,C5,C5,C5,C5,C5,C5",CAP_0805,8,10u,
"U3,U3,U3,U3,U3,U3,U3,U3",SOT-23W,8,OH49E-S,
"TP11,TP11,TP11,TP11,TP11,TP11,TP11,TP11",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_S2P,
"R8,R8,R8,R8,R8,R8,R8,R7,R7,R7,R7,R7,R7,R7,R5,R5,R5,R5,R5,R5,R5,R8,R7,R5",RES_0805,24,10k,
"U9,U9,U9,U9,U9,U9,U9,U4,U4,U4,U4,U4,U4,U4,U4,U9",SOT-23-5,16,LMV321,
"TP3,TP3,TP3,TP3,TP3,TP3,TP3,TP3",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_RXF,
"TP7,TP7,TP7,TP7,TP7,TP7,TP7,TP7",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_S1F,
"C3,C3,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,C4,C4,C4,C3",CAP_0805,16,100n,
"TP13,TP13,TP13,TP13,TP13,TP13,TP13,TP12,TP12,TP12,TP12,TP12,TP12,TP12,TP13,TP12",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,16,TP_5P,
"J5,J5,J5,J5,J5,J5,J5,J6,J6,J6,J6,J6,J6,J6,J6,J5",J_FFC_1x8_Solder_3common,16,FFC_Conn_01x08_combine_pins2,
"TP1,TP1,TP1,TP1,TP1,TP1,TP1,TP16,TP16,TP16,TP16,TP16,TP16,TP16,TP8,TP8,TP8,TP8,TP8,TP8,TP8,TP9,TP9,TP9,TP9,TP9,TP9,TP9,TP16,TP9,TP8,TP1",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,32,TP_GND,
"TP15,TP15,TP15,TP15,TP15,TP15,TP15,TP15",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_TXP,
"TP14,TP14,TP14,TP14,TP14,TP14,TP14,TP14",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_S1P,
"TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_S2F,
"TP6,TP6,TP6,TP6,TP6,TP6,TP6,TP6",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_TXF,
"FID4,FID3,FID2,FID1",Fiducial_1.5mm_Mask3mm,4,Fiducial,
"H4,H3,H2,H1",MountingHole_2.2mm_M2,4,MountingHole,
