Id,Designator,Footprint,Quantity,Helper,LCSC Part #
1,"U4,U9,U4,U9,U4,U9,U4,U9,U4,U9,U4,U9,U4,U9,U4,U9",SOT-23-5,16,LMV321,
2,"J5,J6,J5,J6,J5,J6,J5,J6,J5,J6,J5,J6,J5,J6,J6,J5",J_FFC_1x8_Solder_3common,16,FFC_Conn_01x08_combine_pins2,
3,"D1,D1,D1,D1,D1,D1,D1,D1",SOT-23,8,BAT54C,
4,"U3,U3,U3,U3,U3,U3,U3,U3",SOT-23W,8,OH49E-S,
5,"U6,U8,U5,U7,U6,U8,U5,U7,U6,U8,U5,U7,U6,U8,U5,U7,U6,U8,U5,U7,U6,U8,U5,U7,U6,U8,U5,U7,U8,U6,U7,U5",SOT-23-5,32,74HC1G66GV,
6,"TP1,TP8,TP9,TP16,TP1,TP8,TP9,TP16,TP1,TP8,TP9,TP16,TP1,TP8,TP9,TP16,TP1,TP8,TP9,TP16,TP1,TP8,TP9,TP16,TP1,TP8,TP9,TP16,TP16,TP9,TP8,TP1",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,32,TP_GND,
7,"TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_S2F,
8,"TP3,TP3,TP3,TP3,TP3,TP3,TP3,TP3",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_RXF,
9,"TP4,TP5,TP4,TP5,TP4,TP5,TP4,TP5,TP4,TP5,TP4,TP5,TP4,TP5,TP5,TP4",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,16,TP_5F,
10,"TP6,TP6,TP6,TP6,TP6,TP6,TP6,TP6",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_TXF,
11,"TP7,TP7,TP7,TP7,TP7,TP7,TP7,TP7",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_S1F,
12,"R3,R1,R4,R2,R6,R3,R1,R4,R2,R6,R3,R1,R4,R2,R6,R3,R1,R4,R2,R6,R3,R1,R4,R2,R6,R3,R1,R4,R2,R6,R3,R1,R4,R2,R6,R3,R4,R1,R6,R2",RES_0805,40,470R,
13,"TP10,TP10,TP10,TP10,TP10,TP10,TP10,TP10",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_RXP,
14,"TP11,TP11,TP11,TP11,TP11,TP11,TP11,TP11",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_S2P,
15,"TP12,TP13,TP12,TP13,TP12,TP13,TP12,TP13,TP12,TP13,TP12,TP13,TP12,TP13,TP13,TP12",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,16,TP_5P,
16,"TP14,TP14,TP14,TP14,TP14,TP14,TP14,TP14",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_S1P,
17,"TP15,TP15,TP15,TP15,TP15,TP15,TP15,TP15",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,8,TP_TXP,
18,"U2,U1,U2,U1,U2,U1,U2,U1,U2,U1,U2,U1,U2,U1,U2,U1",SOT-23-6,16,SESRV05-4,
19,"Q3,Q4,Q3,Q4,Q3,Q4,Q3,Q4,Q3,Q4,Q3,Q4,Q3,Q4,Q4,Q3",SOT-23-6,16, WST2011,
20,"J3,J1,J3,J1,J3,J1,J3,J1,J3,J1,J3,J1,J3,J1,J3,J1",J_4xPOGO,16,Conn_01x04,
21,"H5,H6,H5,H6,H5,H6,H5,H6,H5,H6,H5,H6,H5,H6,H6,H5",PANEL_BREAKOUT-2x3-0.7,16,MountingHole,
22,"C1,C2,C1,C2,C1,C2,C1,C2,C1,C2,C1,C2,C1,C2,C2,C1",CAP_0805,16,1u,
23,"C3,C4,C3,C4,C3,C4,C3,C4,C3,C4,C3,C4,C3,C4,C4,C3",CAP_0805,16,100n,
24,"C5,C5,C5,C5,C5,C5,C5,C5",CAP_0805,8,10u,
25,"R5,R7,R8,R5,R7,R8,R5,R7,R8,R5,R7,R8,R5,R7,R8,R5,R7,R8,R5,R7,R8,R8,R7,R5",RES_0805,24,10k,
26,"FID4,FID3,FID2,FID1",Fiducial_1.5mm_Mask3mm,4,Fiducial,
27,"H4,H3,H2,H1",MountingHole_2.2mm_M2,4,MountingHole,
