"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U8";"SOIC-8_WIDE(rot90)";1;"W25Q16JVSSIQ";;;
2;"U3";"SOIC-16_3.9x9.9mm_P1.27mm(rot90)";1;"74HC165";;;
3;"UI5,UI8,UI7,UI6";"UI_FADER_TT";4;"UI_Fader";;;
4;"SW1";"SW_HYP_MAPMODE";1;"SW_SPST";;;
5;"C1,C16,C8,C4,C15,C7,C3,C14,C6,C2,C13,C5,C55,C54,C44,C49,C48,C47,C46,C45,C42,C41,C39,C52,C35,C9,C33,C32,C30,C28,C26,C31,C29,C27,C25,C24,C22,C20,C18,C23,C21,C19,C17,C10";"CAP_0805";44;"100n";;;
6;"D16,D8,D4,D15,D7,D3,D14,D6,D2,D13,D5,D1";"UI_WS2812C-2020";12;"UI_WS2812C-2020";;;
7;"M1";"grid_outline";1;"Conn_01x08";;;
8;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"N.F.16Mhz";;;
9;"U4";"SOT-23-6";1;"SESRV05-4";;;
10;"J1";"USB_C_Korean_Hroparts";1;"TYPE-C-31-M-04";;;
11;"R37";"RES_0805";1;"1M";;;
12;"U2,U1";"SOIC-16_3.9x9.9mm_P1.27mm";2;"74HC4051";;;
13;"U6,U5";"SOT-23-5";2;"LN1134A332MR-G";;;
14;"U7";"TQFP-100_14x14mm_P0.5mm";1;"SAMD51N20A";;;
15;"TP4,TP3,TP2,TP1";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";4;"TestPoint";;;
16;"C53,C36,C40,C34";"CAP_0805";4;"1u";;;
17;"C50,C51";"CAP_0805";2;"N.F.18p";;;
18;"R36,R16,R15,R14,R13";"RES_0805";5;"10k";;;
19;"FB2,FB1";"FERRIT_0805";2;"600 Ohm @ 100MHz";;;
20;"C43,C38";"CAP_0805";2;"10u";;;
21;"J11,J10,J9,J7,J5,J4,J8,J6";"grid_ffc_8_vertical";8;"Conn_01x08";;;
22;"UI32,UI31,UI30,UI29";"UI_BUTTON_OMRON";4;"UI_Pushbutton_Omron";;;
23;"UI4,UI3,UI2,UI1";"UI_POT_TT";4;"UI_Potentiometer";;;
24;"R39,R38,R40,R42,R41,R32,R30,R28,R26,R31,R29,R27,R25,R24,R22,R20,R18,R23,R21,R19,R17";"RES_0805";21;"1k";;;
25;"R35,R34";"RES_0805";2;"5k1";;;
26;"J2";"PinHeader_2x05_P1.27mm_Vertical";1;"N.F.";;;
27;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"N.F.";;;
28;"C37";"CAP_0805";1;"4n7";;;
