Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,CAP_0805,-37.465,47.625,270,bottom
C2,100n,CAP_0805,-10.795,47.625,270,bottom
C3,100n,CAP_0805,10.795,47.625,270,bottom
C4,100n,CAP_0805,37.465,47.625,270,bottom
C5,100n,CAP_0805,-40.005,25.4,180,bottom
C6,100n,CAP_0805,-13.335,25.4,180,bottom
C7,100n,CAP_0805,13.335,25.4,180,bottom
C8,100n,CAP_0805,40.005,25.4,180,bottom
C9,100n,CAP_0805,0,-17.78,0,bottom
C10,100n,CAP_0805,-1,-42.5,270,bottom
C13,100n,CAP_0805,-40.005,-32.385,180,bottom
C14,100n,CAP_0805,-13.335,-32.385,180,bottom
C15,100n,CAP_0805,13.335,-32.385,180,bottom
C16,100n,CAP_0805,40.005,-32.385,180,bottom
C17,100n,CAP_0805,-27.94,6.35,270,bottom
C18,100n,CAP_0805,-25.4,6.35,270,bottom
C19,100n,CAP_0805,-30.48,6.35,270,bottom
C20,100n,CAP_0805,-22.86,6.35,270,bottom
C21,100n,CAP_0805,-30.48,-6.35,90,bottom
C22,100n,CAP_0805,-22.86,-6.35,90,bottom
C23,100n,CAP_0805,-27.94,-6.35,90,bottom
C24,100n,CAP_0805,-25.4,-6.35,90,bottom
C25,100n,CAP_0805,25.4,6.35,270,bottom
C26,100n,CAP_0805,27.94,6.35,270,bottom
C27,100n,CAP_0805,22.86,6.35,270,bottom
C28,100n,CAP_0805,30.48,6.35,270,bottom
C29,100n,CAP_0805,22.86,-6.35,90,bottom
C30,100n,CAP_0805,30.48,-6.35,90,bottom
C31,100n,CAP_0805,25.4,-6.35,90,bottom
C32,100n,CAP_0805,27.94,-6.35,90,bottom
C33,100n,CAP_0805,5.08,-29.21,90,bottom
C34,1u,CAP_0805,-2,2,180,bottom
C35,100n,CAP_0805,-33.655,0,270,bottom
C36,1u,CAP_0805,2,-4,0,bottom
C37,4n7,CAP_0805,2.5,46.99,270,bottom
C38,10u,CAP_0805,-5.5,2,0,bottom
C39,100n,CAP_0805,-5.5,-2,0,bottom
C40,1u,CAP_0805,-2,-4,0,bottom
C41,100n,CAP_0805,5.5,4,0,bottom
C42,100n,CAP_0805,-2,-6,0,bottom
C43,10u,CAP_0805,5.5,-2,0,bottom
C44,100n,CAP_0805,2,-6,0,bottom
C45,100n,CAP_0805,-5.5,-4,180,bottom
C46,100n,CAP_0805,5.5,-6,180,bottom
C47,100n,CAP_0805,-5.5,-6,180,bottom
C48,100n,CAP_0805,5.5,-4,180,bottom
C49,100n,CAP_0805,2,6,0,bottom
C50,N.F.18p,CAP_0805,-5.5,6,180,bottom
C51,N.F.18p,CAP_0805,-5.5,4,180,bottom
C52,100n,CAP_0805,33.655,0,270,bottom
C53,1u,CAP_0805,2,2,0,bottom
C54,100n,CAP_0805,5.5,2,0,bottom
C55,100n,CAP_0805,5.5,6,0,bottom
FB1,600 Ohm @ 100MHz,FERRIT_0805,5.5,0,0,bottom
FB2,600 Ohm @ 100MHz,FERRIT_0805,-5.5,0,0,bottom
R13,10k,RES_0805,-40.005,-40.005,180,bottom
R14,10k,RES_0805,-13.335,-40.005,180,bottom
R15,10k,RES_0805,13.335,-40.005,180,bottom
R16,10k,RES_0805,40.005,-40.005,180,bottom
R17,1k,RES_0805,-27.94,10.16,90,bottom
R18,1k,RES_0805,-25.4,10.16,90,bottom
R19,1k,RES_0805,-30.48,10.16,90,bottom
R20,1k,RES_0805,-22.86,10.16,90,bottom
R21,1k,RES_0805,-30.48,-10.16,270,bottom
R22,1k,RES_0805,-22.86,-10.16,270,bottom
R23,1k,RES_0805,-27.94,-10.16,270,bottom
R24,1k,RES_0805,-25.4,-10.16,270,bottom
R25,1k,RES_0805,25.4,10.16,90,bottom
R26,1k,RES_0805,27.94,10.16,90,bottom
R27,1k,RES_0805,22.86,10.16,90,bottom
R28,1k,RES_0805,30.48,10.16,90,bottom
R29,1k,RES_0805,22.86,-10.16,270,bottom
R30,1k,RES_0805,30.48,-10.16,270,bottom
R31,1k,RES_0805,25.4,-10.16,270,bottom
R32,1k,RES_0805,27.94,-10.16,270,bottom
R34,5k1,RES_0805,3.175,39,270,bottom
R35,5k1,RES_0805,0,47,270,bottom
R36,10k,RES_0805,2,4,180,bottom
R37,1M,RES_0805,-2.5,46.99,270,bottom
R38,1k,RES_0805,-1.905,21.59,0,bottom
R39,1k,RES_0805,1.905,21.59,180,bottom
R40,1k,RES_0805,1,-42.5,90,bottom
R41,1k,RES_0805,1.905,19.685,0,bottom
R42,1k,RES_0805,-1.905,19.685,180,bottom
U3,74HC165,SOIC-16_3.9x9.9mm_P1.27mm(rot90),0,-25.4,90,bottom
U4,SESRV05-4,SOT-23-6,0,39,90,bottom
U5,LN1134A332MR-G,SOT-23-5,-2,-1,90,bottom
U6,LN1134A332MR-G,SOT-23-5,2,-1,90,bottom
U8,W25Q16JVSSIQ,SOIC-8_WIDE(rot90),0,-13.335,270,bottom
Y1,N.F.16Mhz,Crystal_SMD_3215-2Pin_3.2x1.5mm,-2,5,270,bottom
