Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","CAP_0805",37.465000,47.625000,270.000000,bottom
"C2","100n","CAP_0805",10.795000,47.625000,270.000000,bottom
"C3","100n","CAP_0805",-10.795000,47.625000,270.000000,bottom
"C4","100n","CAP_0805",-37.465000,47.625000,270.000000,bottom
"C5","100n","CAP_0805",40.005000,20.955000,180.000000,bottom
"C6","100n","CAP_0805",13.335000,20.955000,180.000000,bottom
"C7","100n","CAP_0805",-13.335000,20.955000,180.000000,bottom
"C8","100n","CAP_0805",-40.005000,20.955000,180.000000,bottom
"C9","100n","CAP_0805",40.005000,-5.715000,180.000000,bottom
"C10","100n","CAP_0805",13.335000,-5.715000,180.000000,bottom
"C11","100n","CAP_0805",-13.335000,-5.715000,180.000000,bottom
"C12","100n","CAP_0805",-40.005000,-5.715000,180.000000,bottom
"C13","100n","CAP_0805",40.005000,-32.385000,180.000000,bottom
"C14","100n","CAP_0805",13.335000,-32.385000,180.000000,bottom
"C15","100n","CAP_0805",-13.335000,-32.385000,180.000000,bottom
"C16","100n","CAP_0805",-40.005000,-32.385000,180.000000,bottom
"C17","100n","CAP_0805",27.940000,6.350000,270.000000,bottom
"C18","100n","CAP_0805",25.400000,6.350000,270.000000,bottom
"C19","100n","CAP_0805",30.480000,6.350000,270.000000,bottom
"C20","100n","CAP_0805",22.860000,6.350000,270.000000,bottom
"C21","100n","CAP_0805",30.480000,-6.350000,90.000000,bottom
"C22","100n","CAP_0805",22.860000,-6.350000,90.000000,bottom
"C23","100n","CAP_0805",27.940000,-6.350000,90.000000,bottom
"C24","100n","CAP_0805",25.400000,-6.350000,90.000000,bottom
"C25","100n","CAP_0805",-25.400000,6.350000,270.000000,bottom
"C26","100n","CAP_0805",-27.940000,6.350000,270.000000,bottom
"C27","100n","CAP_0805",-22.860000,6.350000,270.000000,bottom
"C28","100n","CAP_0805",-30.480000,6.350000,270.000000,bottom
"C29","100n","CAP_0805",-22.860000,-6.350000,90.000000,bottom
"C30","100n","CAP_0805",-30.480000,-6.350000,90.000000,bottom
"C31","100n","CAP_0805",-25.400000,-6.350000,90.000000,bottom
"C32","100n","CAP_0805",-27.940000,-6.350000,90.000000,bottom
"C33","100n","CAP_0805",-5.080000,-29.210000,90.000000,bottom
"C34","1u","CAP_0805",2.000000,2.000000,180.000000,bottom
"C35","100n","CAP_0805",33.655000,0.000000,270.000000,bottom
"C36","1u","CAP_0805",-2.000000,-4.000000,-0.000000,bottom
"C37","4n7","CAP_0805",-2.500000,46.990000,270.000000,bottom
"C38","10u","CAP_0805",5.500000,2.000000,-0.000000,bottom
"C39","100n","CAP_0805",5.500000,-2.000000,-0.000000,bottom
"C40","1u","CAP_0805",2.000000,-4.000000,-0.000000,bottom
"C41","100n","CAP_0805",-5.500000,4.000000,-0.000000,bottom
"C42","100n","CAP_0805",2.000000,-6.000000,-0.000000,bottom
"C43","10u","CAP_0805",-5.500000,-2.000000,-0.000000,bottom
"C44","100n","CAP_0805",-2.000000,-6.000000,-0.000000,bottom
"C45","100n","CAP_0805",5.500000,-4.000000,180.000000,bottom
"C46","100n","CAP_0805",-5.500000,-6.000000,180.000000,bottom
"C47","100n","CAP_0805",5.500000,-6.000000,180.000000,bottom
"C48","100n","CAP_0805",-5.500000,-4.000000,180.000000,bottom
"C49","100n","CAP_0805",-2.000000,6.000000,-0.000000,bottom
"C50","N.F.18p","CAP_0805",5.500000,6.000000,180.000000,bottom
"C51","N.F.18p","CAP_0805",5.500000,4.000000,180.000000,bottom
"C52","100n","CAP_0805",-33.655000,0.000000,270.000000,bottom
"C53","1u","CAP_0805",-2.000000,2.000000,-0.000000,bottom
"C54","100n","CAP_0805",-5.500000,2.000000,-0.000000,bottom
"C55","100n","CAP_0805",-5.500000,6.000000,-0.000000,bottom
"C56","100n","CAP_0805",0.000000,-17.780000,-0.000000,bottom
"C57","100n","CAP_0805",1.000000,-42.500000,270.000000,bottom
"FB1","600 Ohm @ 100MHz","FERRIT_0805",-5.500000,0.000000,-0.000000,bottom
"FB2","600 Ohm @ 100MHz","FERRIT_0805",5.500000,0.000000,-0.000000,bottom
"R1","10k","RES_0805",40.005000,40.005000,180.000000,bottom
"R2","10k","RES_0805",13.335000,40.005000,180.000000,bottom
"R3","10k","RES_0805",-13.335000,40.005000,180.000000,bottom
"R4","10k","RES_0805",-40.005000,40.005000,180.000000,bottom
"R5","10k","RES_0805",40.005000,13.335000,180.000000,bottom
"R6","10k","RES_0805",13.335000,13.335000,180.000000,bottom
"R7","10k","RES_0805",-13.335000,13.335000,180.000000,bottom
"R8","10k","RES_0805",-40.005000,13.335000,180.000000,bottom
"R9","10k","RES_0805",40.005000,-13.335000,180.000000,bottom
"R10","10k","RES_0805",13.335000,-13.335000,180.000000,bottom
"R11","10k","RES_0805",-13.335000,-13.335000,180.000000,bottom
"R12","10k","RES_0805",-40.005000,-13.335000,180.000000,bottom
"R13","10k","RES_0805",40.005000,-40.005000,180.000000,bottom
"R14","10k","RES_0805",13.335000,-40.005000,180.000000,bottom
"R15","10k","RES_0805",-13.335000,-40.005000,180.000000,bottom
"R16","10k","RES_0805",-40.005000,-40.005000,180.000000,bottom
"R17","1k","RES_0805",27.940000,10.160000,90.000000,bottom
