Designator,Footprint,Quantity,Comment,LCSC Part#
M1,grid_outline,1,Conn_01x08,
"R13,R48,R46,R37,R33,R16,R12,R8,R4,R15,R11,R7,R3,R14,R10,R6,R2,R9,R5,R1",RES_0805,20,10k,
"U1,U2",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC4051,
"JP2,JP1",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,N.F. Solder Jumper,
TP20,TestPoint_Pad_D1.0mm,1,CC2,
TP19,TestPoint_Pad_D1.0mm,1,CC1,
"C44,C47,C53,C55,C54,C49,C48,C46,C45,C42,C41,C39,C52,C35,C1,C56,C33,C32,C30,C28,C26,C31,C29,C27,C25,C24,C22,C20,C18,C23,C21,C19,C17,C16,C12,C8,C4,C15,C11,C7,C3,C14,C10,C6,C2,C13,C9,C5,C57",CAP_0805,49,100n,
U11,SOT-23-5,1,MT9700,
U10,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302BMPX(N.F.),
"U9,U5",SOT-23-5,2,LN1134A332MR-G,
U6,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302BMPX,
U4,SOT-23-6,1,SESRV05-4 ,
TP18,TestPoint_Pad_D1.0mm,1,UI_5V,
TP17,TestPoint_Pad_D1.0mm,1,UI,
TP16,TestPoint_Pad_D1.0mm,1,INT,
TP15,TestPoint_Pad_D1.0mm,1,SCL,
TP14,TestPoint_Pad_D1.0mm,1,SDA,
TP13,TestPoint_Pad_D1.0mm,1,UC,
TP12,TestPoint_Pad_D1.0mm,1,D+,
TP11,TestPoint_Pad_D1.0mm,1,D-,
TP10,TestPoint_Pad_D1.0mm,1,VB,
TP9,TestPoint_Pad_D1.0mm,1,GND,
R47,RES_0805,1,1M,
"R45,R44",RES_0805,2,5k1(N.F.),
"R36,R35,R34,R43",RES_0805,4,5k1,
J1,USB_C_Korean_Hroparts_TYPE-C-31-M-12,1,USB_C_TYPE-C-32-M-12,
"FB1,FB2",FERRIT_0805,2,600 Ohm @ 100MHz,
C51,CAP_0805,1,4n7,
"C50,C37,C36,C34,C40",CAP_0805,5,1u,
U8,SOIC-8_WIDE(rot90),1,W25Q16JVSSIQ,
U3,SOIC-16_3.9x9.9mm_P1.27mm(rot90),1,74HC165,
"UI23,UI32,UI28,UI24,UI20,UI31,UI27,UI19,UI30,UI26,UI22,UI18,UI29,UI25,UI21,UI17",UI_BUTTON_OMRON,16,UI_Pushbutton_Omron,
SW1,SW_HYP_MAPMODE,1,SW_SPST,
U7,TQFP-100_14x14mm_P0.5mm,1,SAMD51N20A,
"TP4,TP3,TP2,TP1",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,4,TestPoint,
"C43,C38",CAP_0805,2,10u,
"J11,J10,J9,J7,J5,J4,J8,J6",grid_ffc_8_vertical,8,Conn_01x08,
"UI13,UI16,UI12,UI8,UI4,UI15,UI11,UI7,UI3,UI14,UI10,UI6,UI2,UI9,UI5,UI1",UI_POT_TT,16,UI_Potentiometer,
"D10,D16,D12,D8,D4,D15,D11,D7,D3,D14,D6,D2,D13,D9,D5,D1",UI_WS2812C-2020,16,UI_WS2812C-2020,
"R39,R38,R40,R42,R41,R32,R30,R28,R26,R31,R29,R27,R25,R24,R22,R20,R18,R23,R21,R19,R17",RES_0805,21,1k,
J2,PinHeader_2x05_P1.27mm_Vertical,1,N.F.,
