Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       16.02.17
Time:       12:26
Revision:   0
Variant:    Default_assembly
Units used: mm

Designator Footprint Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Layer       Rotation 
R209       AP2-00011 -41.465      -42.200      -41.465   -42.200   -40.965   -42.200   TopLayer    180      
R308       AP2-00011 -48.800      -54.875      -48.800   -54.875   -48.800   -55.375   BottomLayer 90       
U702       AP6-00478 -26.075      -41.800      -26.075   -41.800   -22.225   -43.705   TopLayer    180      
J600       AP8-01033 -70.325      -13.988      -70.325   -11.575   -65.880   -17.925   TopLayer    180      
U600       AP6-00348 -69.700      -30.130      -69.700   -30.130   -68.450   -28.270   TopLayer    270      
R110       AP2-00011 -21.375      -12.775      -21.375   -12.775   -20.875   -12.775   BottomLayer 180      
R109       AP2-00011 -20.400      -8.401       -20.400   -8.401    -20.900   -8.401    BottomLayer 0        
Q104       AP5-00001 -20.894      -10.604      -20.894   -10.604   -21.544   -9.679    BottomLayer 270      
R102       AP2-00011 -12.200      -11.500      -12.200   -11.500   -12.700   -11.500   BottomLayer 0        
R100       AP2-00011 -8.575       -10.275      -8.575    -10.275   -8.575    -9.775    BottomLayer 270      
R106       AP2-00011 -12.200      -9.625       -12.200   -9.625    -12.700   -9.625    BottomLayer 0        
Q101       AP5-00047 -10.096      -10.550      -10.096   -10.550   -10.746   -9.675    BottomLayer 0        
U200       AP6-00477 -32.000      -60.000      -32.000   -60.000   -24.300   -66.200   TopLayer    180      
R827       AP2-00000 -15.500      -30.750      -15.500   -30.750   -15.500   -31.350   BottomLayer 90       
R826       AP2-00000 -16.800      -30.775      -16.800   -30.775   -16.800   -31.375   BottomLayer 90       
R825       AP2-00000 -18.100      -30.775      -18.100   -30.775   -18.100   -31.375   BottomLayer 90       
R824       AP2-00000 -12.950      -30.750      -12.950   -30.750   -12.950   -31.350   BottomLayer 90       
R823       AP2-00000 -11.303      -24.300      -11.303   -24.300   -10.703   -24.300   BottomLayer 180      
R630       AP2-00011 -62.400      -39.850      -62.400   -39.850   -62.900   -39.850   TopLayer    360      
R629       AP2-00011 -75.025      -39.850      -75.025   -39.850   -74.525   -39.850   TopLayer    180      
R628       AP2-00011 -77.400      -39.850      -77.400   -39.850   -76.900   -39.850   TopLayer    180      
R626       AP2-00011 -64.650      -39.850      -64.650   -39.850   -65.150   -39.850   TopLayer    360      
R624       AP2-00011 -60.275      -39.850      -60.275   -39.850   -60.775   -39.850   TopLayer    360      
R625       AP2-00011 -58.150      -39.850      -58.150   -39.850   -58.650   -39.850   TopLayer    360      
R623       AP2-00011 -67.075      -39.850      -67.075   -39.850   -66.575   -39.850   TopLayer    180      
R622       AP2-00011 -69.325      -39.850      -69.325   -39.850   -68.825   -39.850   TopLayer    180      
R621       AP2-00011 -72.325      -39.850      -72.325   -39.850   -71.825   -39.850   TopLayer    180      
