Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
J501,TYPE-C-32-M-12,USB_C_Korean_Hroparts_TYPE-C-31-M-12,0.0000,21.7350,180.0000,top
J502,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,7.9750,23.0000,90.0000,top
J503,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,-13.0250,23.0000,90.0000,top
R501,1k,RES_0402,-1.2500,4.7500,0.0000,top
R502,1k,RES_0402,1.2500,4.7500,180.0000,top
R503,0R,RES_0402,-1.2500,6.2500,180.0000,top
R504,5k1,RES_0402,-1.2500,17.0000,0.0000,top
R505,5k1,RES_0402,1.2500,17.0000,0.0000,top
R506,0R,RES_0402,-1.2500,7.7500,0.0000,top
R507,0R,RES_0402,1.2500,6.2500,180.0000,top
R508,0R,RES_0402,1.2500,7.7500,0.0000,top
SW501,C2905169,SW_SPST_CK_RS282G05A3,-11.4000,6.8000,90.0000,top
SW502,C2905169,SW_SPST_CK_RS282G05A3,-7.2000,6.8000,90.0000,top
USB501,U261-241N-4BS60,USB-TYPE-C-SMD_U261-241N-4BS60,0.0000,0.0000,0.0000,top
