"Qty","Designator","Part","Comment","Footprint"
"4","C506,C507,C511,C512","CAP","100n","CAP_0402"
"3","C508,C509,C510","CAP","10u","CAP_0402"
"2","D501,D502","LED","LED","LED_0402_1005Metric"
"1","H534","Outline","Outline","OSHWA"
"1","J501","USB_C_TYPE-C-32-M-12","TYPE-C-32-M-12","USB_C_Korean_Hroparts_TYPE-C-31-M-12"
"6","R501,R502,R509,R510,R511,R512","RES","1k","RES_0402"
"1","R513","RES","4k7","RES_0402"
"2","R504,R505","RES","5k1","RES_0402"
"2","SW501,SW502","SW_SPST","C2905169","SW_SPST_CK_RS282G05A3"
"1","U503","CH334R","CH334R","QSOP-16_3.9x4.9mm_P0.635mm"
"1","U504","CH340X","CH340X","MSOP-10_3x3mm_P0.5mm"
"1","U501","U_REGULATOR_SOT23-5","LN1134A332MR-G","SOT-23-5"
"1","USB501","U261-241N-4BS60","U261-241N-4BS60","USB-TYPE-C-SMD_U261-241N-4BS60"
"1","Y502","ESP32_XTAL","12MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm"
