Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C1,100n,CAP_0402,-7.8780,-11.0754,90.0000,top
C2,1u,CAP_0402,-1.8290,-10.9980,90.0000,top
C3,1u,CAP_0402,2.0000,-11.0000,270.0000,top
C4,1u,CAP_0402,-42.0116,-11.0500,90.0000,top
C5,1u,CAP_0402,42.0116,-11.0500,90.0000,top
D1,BAT54C,SOT-23,-10.4180,-11.0500,180.0000,top
J1,LBC1130B,J_4xPOGO_SMD,-26.6700,-6.0000,180.0,bottom
J2,LBC1130B,J_4xPOGO_SMD,26.6700,-6.0000,180.0,bottom
J3,BC-12-4PD170-08,J_BATTERY_CONN,-26.6700,-8.2500,0.0000,top
J4,BC-12-4PD170-08,J_BATTERY_CONN,26.6700,-8.2500,0.0000,top
Q3,2N7002,SOT-23,8.4580,-11.0754,180.0000,top
Q4,JSM2301S,SOT-23,22.0000,-11.2500,0.0000,top
Q5,JSM2301S,SOT-23,25.2500,-11.2500,0.0000,top
Q6,JSM2301S,SOT-23,-20.2500,-11.2500,0.0000,top
Q7,JSM2301S,SOT-23,-23.5000,-11.2500,0.0000,top
R1,470R,RES_0402,-30.2500,-11.7500,180.0000,top
R2,470R,RES_0402,-30.2500,-10.7500,180.0000,top
R3,10k,RES_0402,-3.0000,-11.0000,270.0000,top
R4,10k,RES_0402,-0.5590,-11.0000,270.0000,top
R5,470R,RES_0402,31.5000,-10.2500,0.0000,top
R6,470R,RES_0402,31.5000,-12.2500,0.0000,top
R7,470R,RES_0402,-4.5000,-11.0000,270.0000,top
R8,10k,RES_0402,0.7500,-11.0500,90.0000,top
R9,10k,RES_0402,10.7440,-11.0754,90.0000,top
U1,BL1551B,SOT-363_SC-70-6,-37.0000,-11.2500,180.0000,top
U2,IP4220CZ6-HXY,SOT-23-6-AND-SOT-363,-27.0000,-11.2500,180.0000,top
U3,BL1551B,SOT-363_SC-70-6,-33.0200,-11.2500,0.0000,top
U4,BL1551B,SOT-363_SC-70-6,37.0000,-11.2500,0.0000,top
U5,LMV321,SOT-23-5,4.6040,-11.0754,180.0000,top
U6,IP4220CZ6-HXY,SOT-23-6-AND-SOT-363,28.7500,-11.2500,0.0000,top
U7,BL1551B,SOT-363_SC-70-6,34.0000,-11.2500,180.0000,top
U8,OH49E-S,SOT-23W,-16.5000,-11.2500,180.0000,top
