"Qty","Designator","Part","Comment","Footprint"
"1","C742","CAP","1p8","CAP_0402"
"1","C739","CAP","3p9","CAP_0402"
"2","C748,C750","CAP","10p","CAP_0402"
"2","C1066,C1069","CAP","1n","CAP_0402"
"1","C601","CAP","4n7","CAP_0402"
"1","C753","CAP","10n","CAP_0402"
"115","C604,C605,C606,C607,C608,C609,C611,C612,C613,C614,C615,C618,C619,C620,C621,C622,C623,C731,C732,C735,C736,C737,C738,C740,C741,C744,C745,C747,C749,C751,C752,C756,C757,C801,C901,C902,C903,C904,C905,C906,C907,C909,C910,C911,C913,C914,C915,C1001,C1002,C1003,C1004,C1005,C1006,C1007,C1008,C1009,C1010,C1011,C1012,C1013,C1014,C1015,C1016,C1017,C1018,C1019,C1020,C1021,C1022,C1023,C1024,C1025,C1026,C1027,C1028,C1029,C1031,C1032,C1033,C1034,C1035,C1036,C1037,C1038,C1039,C1040,C1041,C1042,C1043,C1044,C1045,C1046,C1047,C1048,C1049,C1050,C1051,C1052,C1053,C1054,C1055,C1056,C1057,C1058,C1059,C1060,C1061,C1063,C1064,C1065,C1067,C1068,C1070,C1071,C1111","CAP","100n","CAP_0402"
"9","C602,C603,C733,C734,C746,C754,C755,C758,C1062","CAP","1u","CAP_0402"
"2","C743,C1030","CAP","10u","CAP_0402"
"21","D901,D902,D903,D904,D905,D906,D907,D909,D910,D911,D913,D914,D915,D1001,D1002,D1005,D1006,D1008,D1009,D1011,D1012","UI_WS2812C-2020","WS2812C-2020","UI_WS2812C-2020"
"1","J701","Conn_Coaxial","C5137195","U.FL_Molex_MCRF_73412-0110_Vertical"
"5","J602,J603,J605,J1005,J1008","SMD_NUT","SMTSO1625MTJ","SMD_NUT_M1.6x2.5"
"1","J601","USB_C_TYPE-C-32-M-12","TYPE-C-32-M-12","USB_C_Korean_Hroparts_TYPE-C-31-M-12"
"1","L701","INDUCTOR","1n8","IND_0402"
"2","L1002,L1003","FERRIT","BLM15AG102SN1D","FERRIT_0402"
"1","L1001","FERRIT","BLM15PD121SN1D","FERRIT_0402"
"1","L702","FERRIT","GZ2012D601TF","FERRIT_0805"
"1","LS1001","Speaker","Speaker","speaker-1609_octv"
"1","R1066","RES","0R","RES_0402"
"6","R1067,R1068,R1069,R1070,R1071,R1072","RES","33R","RES_0402"
"18","R733,R736,R1001,R1002,R1003,R1004,R1005,R1006,R1007,R1008,R1009,R1010,R1011,R1012,R1013,R1014,R1015,R1016","RES","1k","RES_0402"
"52","R602,R603,R606,R610,R618,R622,R626,R630,R634,R646,R650,R654,R658,R662,R666,R701,R729,R734,R735,R1019,R1020,R1021,R1022,R1025,R1026,R1027,R1028,R1031,R1032,R1033,R1034,R1037,R1038,R1039,R1040,R1043,R1044,R1045,R1046,R1049,R1050,R1051,R1052,R1055,R1056,R1057,R1058,R1061,R1062,R1063,R1064,R1065","RES","5k1","RES_0402"
"29","R607,R611,R619,R623,R627,R631,R635,R647,R651,R655,R659,R663,R667,R1017,R1018,R1023,R1024,R1029,R1030,R1035,R1036,R1041,R1042,R1047,R1048,R1053,R1054,R1059,R1060","RES","10k","RES_0402"
"26","R608,R609,R612,R613,R620,R621,R624,R625,R628,R629,R632,R633,R636,R637,R648,R649,R652,R653,R656,R657,R660,R661,R664,R665,R668,R669","RES","15k","RES_0402"
"1","R601","RES","1M","RES_0402"
"1","SW701","SW_SPST","C255807","SW_HYP_MAPMODE"
"13","SW1001,SW1002,SW1003,SW1004,SW1005,SW1006,SW1007,SW1008,SW1009,SW1010,SW1011,SW1013,SW1015","SW_SPST","C2905169","gateron-low-profile"
"2","SW702,SW703","SW_SPST","C2905169","SW_SPST_CK_RS282G05A3"
"5","U801,U1014,U1016,U1018,U1019","74HC165","74HC165","SOIC-16_74HC165"
"2","U1001,U1002","74HC4051","74HC4051","SOIC-16_74HC4051"
"1","U604","74LVC1G08","74LVC1G08","SOT-23-5-AND-TSSOP5"
"4","U605,U606,U607,U608","BL1551B","BL1551B","SOT-363_SC-70-6"
"2","U602,U603","U_ESD_4ch","C5451661","SOT-23-6"
"1","U704","ESP32-S3","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm"
"13","U609,U610,U612,U613,U614,U615,U616,U619,U620,U621,U622,U623,U624","LM321","LMV321","SOT-23-5"
"1","U601","U_REGULATOR_SOT23-5","LN1134A332MR-G","SOT-23-5"
"1","U1020","NS4168_C910588","NS4168_C910588","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP"
"13","U1003,U1004,U1005,U1006,U1007,U1008,U1009,U1010,U1011,U1012,U1013,U1015,U1017","A1301KLHLT-T","OH49E-S","SOT-23W"
"1","U703","RP2040","RP2040","RP2040_QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm"
"1","U705","U_FLASH_W25Q16JVSSIQ","W25Q64JVSSIQ","SOIC-8W_FLASH"
"8","UI1001,UI1002,UI1003,UI1004,UI1005,UI1006,UI1007,UI1008","UI_Rotary_Encoder_Switch","ED1115S-20P-20C-13.5F/LAL/N=5/F=7","UI_ENCODER_SONGHUEI"
"1","Y701","ESP32_XTAL","40MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm"
