Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C601,4n7,CAP_0402,3.0000,43.5000,0.0,bottom
C602,1u,CAP_0402,-3.0000,35.0000,180.0,bottom
C603,1u,CAP_0402,-1.0000,35.0000,180.0,bottom
C604,100n,CAP_0402,4.0000,40.2500,270.0000,top
C605,100n,CAP_0402,-4.0000,40.2500,270.0000,top
C606,100n,CAP_0402,-4.0000,37.5000,90.0000,top
C607,100n,CAP_0402,4.0000,37.5000,90.0000,top
C608,100n,CAP_0402,-25.0000,-43.0000,270.0000,top
C609,100n,CAP_0402,14.0000,-43.0000,270.0000,top
C611,100n,CAP_0402,-9.0000,-43.0000,270.0000,top
C612,100n,CAP_0402,-29.0000,-43.0000,270.0000,top
C613,100n,CAP_0402,-17.0000,-43.0000,270.0000,top
C614,100n,CAP_0402,18.0000,-43.0000,270.0000,top
C615,100n,CAP_0402,22.0000,-43.0000,270.0000,top
C618,100n,CAP_0402,-5.0000,-43.0000,270.0000,top
C619,100n,CAP_0402,6.0000,-43.0000,270.0000,top
C620,100n,CAP_0402,-21.0000,-43.0000,270.0000,top
C621,100n,CAP_0402,10.0000,-43.0000,270.0000,top
C622,100n,CAP_0402,26.0000,-43.0000,270.0000,top
C623,100n,CAP_0402,-13.0000,-43.0000,270.0000,top
C731,100n,CAP_0402,1.0000,17.7500,270.0,bottom
C732,100n,CAP_0402,-2.0000,7.2500,90.0,bottom
C733,1u,CAP_0402,1.0000,7.2500,90.0,bottom
C734,1u,CAP_0402,2.0000,7.2500,90.0,bottom
C735,100n,CAP_0402,-5.2500,9.0000,0.0,bottom
C736,100n,CAP_0402,-5.2500,13.5000,0.0,bottom
C737,100n,CAP_0402,-0.2500,17.7500,270.0,bottom
C738,100n,CAP_0402,5.2500,13.5000,180.0,bottom
C739,3p9,CAP_0402,5.7500,8.2500,90.0000,top
C740,100n,CAP_0402,4.5000,7.2500,90.0,bottom
C741,100n,CAP_0402,3.0000,7.2500,90.0,bottom
C742,1p8,CAP_0402,5.2500,9.7500,0.0000,top
C743,10u,CAP_0402,-1.0000,5.2500,270.0,bottom
C744,100n,CAP_0402,-1.0000,7.2500,90.0,bottom
C745,100n,CAP_0402,0.0000,7.2500,90.0,bottom
C746,1u,CAP_0402,0.0000,5.2500,270.0,bottom
