Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C1001,1u,CAP_0402,-24.7500,28.9200,90.0,bottom
C1002,100n,CAP_0402,-23.7500,28.9200,90.0,bottom
C1003,1u,CAP_0402,25.0000,24.4200,270.0,bottom
C1004,100n,CAP_0402,24.0200,24.4200,270.0,bottom
J1001,BC-12-4PD170-08,J_BATTERY_CONN,-26.6700,41.6700,180.0,bottom
J1002,BC-12-4PD170-08,J_BATTERY_CONN,26.6700,41.6700,180.0,bottom
J1007,BC-12-4PD170-08,J_BATTERY_CONN,-26.6700,11.6700,0.0,bottom
J1008,BC-12-4PD170-08,J_BATTERY_CONN,26.6700,11.6700,0.0,bottom
Q1001,2N7002,SOT-23,-7.5500,40.5000,90.0,bottom
R1001,10k,RES_0402,-10.5000,41.5000,0.0,bottom
R1002,47R,RES_0402,-23.7500,30.9200,270.0,bottom
R1003,47R,RES_0402,24.0000,22.4200,90.0,bottom
R1004,10k,RES_0402,-10.0000,14.0000,90.0,bottom
R1005,10k,RES_0402,-8.5000,14.0000,90.0,bottom
R1006,10k,RES_0402,-7.0000,14.0000,90.0,bottom
R1007,10k,RES_0402,8.5000,14.0000,90.0,bottom
R1008,10k,RES_0402,7.0000,14.0000,90.0,bottom
R1009,10k,RES_0402,10.0000,14.0000,90.0,bottom
U1001,DISPLAY_TEK1,Display_VSN1_flat,-26.6700,26.6700,0.0000,top
U1002,DISPLAY_TEK1,Display_VSN1_flat,26.6700,26.6700,180.0000,top
