"Qty","Designator","Part","Comment","Footprint"
"1","C742","CAP","1p8","CAP_0402"
"1","C739","CAP","3p9","CAP_0402"
"2","C748,C750","CAP","10p","CAP_0402"
"2","C939,C940","CAP","1n","CAP_0402"
"1","C601","CAP","4n7","CAP_0402"
"1","C753","CAP","10n","CAP_0402"
"76","C604,C605,C606,C607,C608,C731,C732,C735,C736,C737,C738,C740,C741,C744,C745,C747,C749,C751,C752,C756,C757,C801,C901,C902,C903,C904,C905,C906,C907,C908,C909,C910,C911,C912,C913,C914,C915,C916,C917,C918,C919,C920,C921,C922,C923,C924,C925,C926,C927,C928,C929,C930,C931,C932,C933,C934,C935,C936,C1001,C1002,C1003,C1004,C1005,C1006,C1007,C1008,C1009,C1010,C1011,C1012,C1013,C1014,C1015,C1016,C1017,C1018","CAP","100n","CAP_0402"
"9","C602,C603,C733,C734,C746,C754,C755,C758,C937","CAP","1u","CAP_0402"
"2","C743,C938","CAP","10u","CAP_0402"
"18","D901,D902,D903,D904,D905,D906,D907,D908,D909,D910,D911,D912,D913,D914,D915,D916,D917,D918","UI_WS2812C-2020","WS2812C-2020","UI_WS2812C-2020"
"1","J701","Conn_Coaxial","C5137195","U.FL_Molex_MCRF_73412-0110_Vertical"
"8","J903,J904,J905,J906,J909,J910,J911,J912","SMD_NUT","SMTSO1625MTJ","SMD_NUT_M1.6x2.5"
"1","J601","USB_C_TYPE-C-32-M-12","TYPE-C-32-M-12","USB_C_Korean_Hroparts_TYPE-C-31-M-12"
"1","L701","INDUCTOR","1n8","IND_0402"
"2","L902,L903","FERRIT","BLM15AG102SN1D","FERRIT_0402"
"1","L904","FERRIT","BLM15PD121SN1D","FERRIT_0402"
"1","L702","FERRIT","GZ2012D601TF","FERRIT_0805"
"1","LS601","Speaker","Speaker","speaker-1609"
"1","R939","RES","0R","RES_0402"
"6","R940,R941,R942,R943,R944,R945","RES","33R","RES_0402"
"2","R902,R1025","RES","470R","RES_0402"
"18","R733,R736,R1001,R1002,R1003,R1004,R1005,R1006,R1007,R1008,R1009,R1010,R1011,R1012,R1013,R1014,R1015,R1016","RES","1k","RES_0402"
"27","R602,R603,R607,R608,R609,R610,R611,R612,R613,R614,R701,R729,R734,R735,R801,R802,R904,R906,R913,R917,R921,R925,R929,R933,R937,R1017,R1018","RES","5k1","RES_0402"
"8","R905,R912,R916,R920,R924,R928,R932,R936","RES","10k","RES_0402"
"16","R903,R910,R911,R914,R915,R918,R919,R922,R923,R926,R927,R930,R931,R934,R935,R938","RES","15k","RES_0402"
"1","R601","RES","1M","RES_0402"
"1","SW701","SW_SPST","C255807","SW_HYP_MAPMODE"
"10","SW702,SW703,SW1001,SW1002,SW1003,SW1004,SW1005,SW1006,SW1007,SW1008","SW_SPST","C2905169","SW_SPST_CK_RS282G05A3"
"2","U609,U801","74HC165","74HC165","SOIC-16_74HC165"
"2","U1001,U1002","74HC4051","74HC4051","SOIC-16_74HC4051"
"1","U604","74LVC1G08","74LVC1G08","SOT-23-5-AND-TSSOP5"
"1","U610","ESP-PSRAM","APS1604M-3SQR-ZR","USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm"
"4","U605,U606,U607,U608","BL1551B","BL1551B","SOT-363_SC-70-6"
"2","U602,U603","U_ESD_4ch","C5451661","SOT-23-6"
"1","U704","ESP32-S3","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm"
"8","U910,U911,U912,U913,U914,U915,U916,U917","LM321","LMV321","SOT-23-5"
"1","U601","U_REGULATOR_SOT23-5","LN1134A332MR-G","SOT-23-5"
"1","U918","NS4168_C910588","NS4168_C910588","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP"
"8","U901,U902,U904,U905,U906,U907,U908,U909","A1301KLHLT-T","OH49E-S","SOT-23W"
"1","U703","RP2040","RP2040","RP2040_QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm"
"1","U705","U_FLASH_W25Q16JVSSIQ","W25Q64JVSSIQ","SOIC-8W_FLASH"
"1","Y701","ESP32_XTAL","40MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm"
