"Qty","Designator","Part","Comment","Footprint"
"1","C1","CAP","100n","CAP_0805"
"1","C2","CAP","1u","CAP_0805"
"216","CS14,CS15,CS17,CS18,CS20,CS21,CS23,CS24,CS26,CS27,CS28,CS29,CS30,CS31,CS32,CS33,CS34,CS35,CS36,CS37,CS39,CS40,CS41,CS42,CS43,CS44,CS45,CS46,CS47,CS48,CS49,CS51,CS52,CS53,CS54,CS55,CS56,CS57,CS58,CS59,CS60,CS61,CS62,CS64,CS65,CS67,CS68,CS70,CS71,CS73,CS74,CS77,CS80,CS83,CS86,CS89,CS90,CS92,CS93,CS95,CS96,CS98,CS99,CS101,CS102,CS103,CS104,CS105,CS106,CS107,CS108,CS109,CS110,CS111,CS112,CS114,CS115,CS116,CS117,CS118,CS119,CS120,CS121,CS122,CS123,CS124,CS126,CS127,CS128,CS129,CS130,CS131,CS132,CS133,CS134,CS135,CS136,CS137,CS139,CS140,CS142,CS143,CS145,CS146,CS148,CS149,CS152,CS155,CS158,CS161,CS164,CS165,CS167,CS168,CS170,CS171,CS173,CS174,CS176,CS177,CS178,CS179,CS180,CS181,CS182,CS183,CS184,CS185,CS186,CS187,CS189,CS190,CS191,CS192,CS193,CS194,CS195,CS196,CS197,CS198,CS199,CS201,CS202,CS203,CS204,CS205,CS206,CS207,CS208,CS209,CS210,CS211,CS212,CS214,CS215,CS217,CS218,CS220,CS221,CS223,CS224,CS227,CS230,CS233,CS236,CS239,CS240,CS242,CS243,CS245,CS246,CS248,CS249,CS251,CS252,CS253,CS254,CS255,CS256,CS257,CS258,CS259,CS260,CS261,CS262,CS264,CS265,CS266,CS267,CS268,CS269,CS270,CS271,CS272,CS273,CS274,CS276,CS277,CS278,CS279,CS280,CS281,CS282,CS283,CS284,CS285,CS286,CS287,CS289,CS290,CS292,CS293,CS295,CS296,CS298,CS299","capsense_diamond","capsense_diamond","capsense_diamond"
"48","CS16,CS19,CS22,CS66,CS69,CS72,CS76,CS78,CS79,CS81,CS82,CS84,CS85,CS87,CS91,CS94,CS97,CS141,CS144,CS147,CS151,CS153,CS154,CS156,CS157,CS159,CS160,CS162,CS166,CS169,CS172,CS216,CS219,CS222,CS226,CS228,CS229,CS231,CS232,CS234,CS235,CS237,CS241,CS244,CS247,CS291,CS294,CS297","capsense_diamond","capsense_diamond","capsense_diamond_bite"
"16","CS1,CS4,CS7,CS10,CS25,CS63,CS100,CS138,CS175,CS213,CS250,CS288,CS303,CS306,CS309,CS312","capsense_diamond_edge","capsense_diamond_edge","capsense_diamond_edge_bite_left"
"16","CS2,CS5,CS8,CS11,CS38,CS50,CS113,CS125,CS188,CS200,CS263,CS275,CS302,CS305,CS308,CS311","capsense_diamond_edge","capsense_diamond_edge","capsense_diamond_edge"
"16","CS3,CS6,CS9,CS12,CS13,CS75,CS88,CS150,CS163,CS225,CS238,CS300,CS301,CS304,CS307,CS310","capsense_diamond_edge","capsense_diamond_edge","capsense_diamond_edge_bite_right"
"1","J2","Conn_01x10","Conn_01x10","Molex_200528-0100_1x10-1MP_P1.00mm_Horizontal"
"1","JP1","Jumper_2_Bridged","Jumper_2_Bridged","SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm"
"1","U1","MXT144U","MXT144U","QFN-38_EP_4x4_Pitch0.35mm"
