Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C1,100n,CAP_0805,-1.5000,11.0000,0.0,bottom
C2,1u,CAP_0805,-1.5000,13.0000,0.0,bottom
CS1,capsense_diamond_edge,capsense_diamond_edge_bite_left,-39.0000,35.7500,90.0000,top
CS2,capsense_diamond_edge,capsense_diamond_edge,-39.0000,29.2500,90.0000,top
CS3,capsense_diamond_edge,capsense_diamond_edge_bite_right,-39.0000,22.7500,90.0000,top
CS4,capsense_diamond_edge,capsense_diamond_edge_bite_left,-39.0000,16.2500,90.0000,top
CS5,capsense_diamond_edge,capsense_diamond_edge,39.0000,9.7500,270.0000,top
CS6,capsense_diamond_edge,capsense_diamond_edge_bite_right,-39.0000,3.2500,90.0000,top
CS7,capsense_diamond_edge,capsense_diamond_edge_bite_left,-39.0000,-3.2500,90.0000,top
CS8,capsense_diamond_edge,capsense_diamond_edge,-39.0000,-9.7500,90.0000,top
CS9,capsense_diamond_edge,capsense_diamond_edge_bite_right,-39.0000,-16.2500,90.0000,top
CS10,capsense_diamond_edge,capsense_diamond_edge_bite_left,-39.0000,-22.7500,90.0000,top
CS11,capsense_diamond_edge,capsense_diamond_edge,39.0000,-29.2500,270.0000,top
CS12,capsense_diamond_edge,capsense_diamond_edge_bite_right,-39.0000,-35.7500,90.0000,top
CS13,capsense_diamond_edge,capsense_diamond_edge_bite_right,-35.7500,39.0000,0.0000,top
CS14,capsense_diamond,capsense_diamond,-35.7500,6.5000,90.0000,top
CS15,capsense_diamond,capsense_diamond,-35.7500,-32.5000,90.0000,top
CS16,capsense_diamond,capsense_diamond_bite,-35.7500,19.5000,0.0000,top
CS17,capsense_diamond,capsense_diamond,-35.7500,-6.5000,90.0000,top
CS18,capsense_diamond,capsense_diamond,-35.7500,-13.0000,90.0000,top
CS19,capsense_diamond,capsense_diamond_bite,-35.7500,0.0000,0.0000,top
CS20,capsense_diamond,capsense_diamond,-35.7500,-26.0000,90.0000,top
CS21,capsense_diamond,capsense_diamond,-35.7500,13.0000,90.0000,top
CS22,capsense_diamond,capsense_diamond_bite,-35.7500,-19.5000,0.0000,top
CS23,capsense_diamond,capsense_diamond,-35.7500,26.0000,90.0000,top
CS24,capsense_diamond,capsense_diamond,-35.7500,32.5000,90.0000,top
CS25,capsense_diamond_edge,capsense_diamond_edge_bite_left,-35.7500,-39.0000,180.0000,top
CS26,capsense_diamond,capsense_diamond,6.5000,35.7500,90.0000,top
CS27,capsense_diamond,capsense_diamond,6.5000,29.2500,90.0000,top
CS28,capsense_diamond,capsense_diamond,-6.5000,22.7500,0.0000,top
CS29,capsense_diamond,capsense_diamond,-13.0000,16.2500,0.0000,top
CS30,capsense_diamond,capsense_diamond,19.5000,9.7500,0.0000,top
CS31,capsense_diamond,capsense_diamond,-6.5000,3.2500,0.0000,top
CS32,capsense_diamond,capsense_diamond,26.0000,-3.2500,0.0000,top
CS33,capsense_diamond,capsense_diamond,32.5000,-9.7500,0.0000,top
CS34,capsense_diamond,capsense_diamond,32.5000,-16.2500,0.0000,top
CS35,capsense_diamond,capsense_diamond,-13.0000,-22.7500,0.0000,top
CS36,capsense_diamond,capsense_diamond,-13.0000,-29.2500,0.0000,top
CS37,capsense_diamond,capsense_diamond,26.0000,-35.7500,0.0000,top
CS38,capsense_diamond_edge,capsense_diamond_edge,-29.2500,39.0000,0.0000,top
CS39,capsense_diamond,capsense_diamond,-29.2500,32.5000,90.0000,top
CS40,capsense_diamond,capsense_diamond,-29.2500,26.0000,90.0000,top
CS41,capsense_diamond,capsense_diamond,-29.2500,0.0000,90.0000,top
CS42,capsense_diamond,capsense_diamond,-29.2500,-32.5000,90.0000,top
CS43,capsense_diamond,capsense_diamond,-29.2500,-6.5000,90.0000,top
